"","SECTION","GENDER","ETHDESCR","CUM_GPA","CUMCREDS","ACT_TOTL","ACT_ENGL","ACT_MATH","ACT_READ","ACT_SCIR","HSPR","LTRGRADE","STATGRAD","DEVSTDNT"
"1",1,"F","Unknown   ",2.15,39,15,16,14,9,21,65,"D ",1,"YES"
"2",1,"F","White     ",2.26,44,22,25,19,20,22,52,"C ",2,"YES"
"3",1,"M","Asian     ",1.96,36,15,10,18,14,19,NA,"W ",NA,"YES"
"4",1,"F","White     ",1.77,24.34,NA,NA,NA,NA,NA,NA,"W ",NA,"YES"
"5",1,"F","White     ",3.6,59,25,24,26,25,26,49,"A ",4,"YES"
"6",1,"M","White     ",NA,14,18,17,17,16,21,65,"B ",3,"YES"
"7",1,"M","White     ",2.57,42,30,34,22,29,34,NA,"A-",3.67,"YES"
"8",1,"F","White     ",2.99,34,19,21,15,20,21,51,"D ",1,"YES"
"9",1,"M","White     ",3.81,37,18,17,16,19,22,NA,"B ",3,"YES"
"10",1,"M","White     ",2.2,35,20,17,19,25,22,58,"D+",1.33,"YES"
"11",1,"F","Asian     ",3.9,41,16,13,18,18,17,72,"A ",4,"YES"
"12",1,"M","Asian     ",3.11,35,19,18,17,22,20,55,"C ",2,"YES"
"13",1,"F","Black     ",NA,12,12,8,15,12,14,45,"F ",0,"YES"
"14",1,"F","White     ",4,33,17,19,13,19,20,65,"B+",3.33,"YES"
"15",1,"F","White     ",NA,44,21,20,18,23,21,51,"C-",1.67,"YES"
"16",1,"M","White     ",3.14,14,17,14,18,18,16,NA,"W ",NA,"YES"
"17",1,"F","Black     ",3.33,33,16,17,17,14,16,NA,"B-",2.67,"YES"
"18",1,"M","Black     ",2.39,27,18,16,15,19,22,61,"D+",1.33,"YES"
"19",1,"M","White     ",2.86,34,18,18,19,14,21,NA,"F ",0,"YES"
"20",1,"F","White     ",NA,14,22,23,25,17,25,53,"C ",2,"YES"
"21",1,"M","White     ",NA,8,22,26,18,24,21,37,"D ",1,"YES"
"22",1,"F","White     ",NA,11,19,19,22,15,19,45,"F ",0,"YES"
"23",1,"M","White     ",NA,15,20,22,18,23,19,73,"C ",2,"YES"
"24",2,"F","White     ",2.41,49,18,19,16,20,18,49,"B-",2.67,"YES"
"25",2,"F","Black     ",2.95,64,18,17,22,14,19,68,"B+",3.33,"YES"
"26",2,"F","Black     ",3.42,20,20,19,21,23,18,33,"A ",4,"YES"
"27",2,"M","White     ",2.97,38,17,15,19,19,18,49,"B-",2.67,"YES"
"28",2,"M","White     ",1.99,43,20,21,16,22,23,46,"W ",NA,"YES"
"29",2,"M","White     ",2.85,35,25,23,18,32,28,39,"C+",2.33,"YES"
"30",2,"M","White     ",2.97,32,20,21,19,24,17,51,"B ",3,"YES"
"31",2,"M","White     ",2.77,33,18,20,16,19,18,36,"C-",1.67,"YES"
"32",2,"F","White     ",3.58,36,17,16,19,15,18,41,"C ",2,"YES"
"33",2,"F","White     ",2.46,34,23,22,20,27,25,38,"C+",2.33,"YES"
"34",2,"M","White     ",3.05,35,22,18,22,24,25,58,"B-",2.67,"YES"
"35",2,"M","White     ",3.65,36,20,18,25,18,19,67,"B-",2.67,"YES"
"36",2,"F","White     ",NA,15,23,21,20,25,24,56,"A-",3.67,"YES"
"37",2,"M","White     ",2.58,27,21,21,22,20,21,50,"W ",NA,"YES"
"38",2,"M","White     ",2.8,31,18,14,21,21,19,49,"F ",0,"YES"
"39",2,"F","White     ",3.07,35,20,19,19,21,22,46,"C-",1.67,"YES"
"40",2,"F","White     ",3.65,37,22,22,21,22,24,27,"A-",3.67,"YES"
"41",2,"F","Am. Indian",2.25,20,12,10,12,12,14,50,"F ",0,"YES"
"42",2,"F","White     ",3,38,19,20,17,17,21,31,"W ",NA,"YES"
